,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos
19,A. Bastoni,20,Italy,Inter,72,84,€5M,€24K,CB,2023,51,33,43,42,76,66,Serie A,Italy,Defender,5M,24K,"A. Bastoni, CB"
20,A. Begovic,32,Bosnia Herzegovina,Bournemouth,75,75,€4M,€39K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,4M,39K,"A. Begovic, GK"
21,A. Belotti,25,Italy,Torino,82,87,€30M,€63K,ST,2021,77,81,57,77,41,82,Serie A,Italy,Forward,30M,63K,"A. Belotti, ST"
22,A. Berardi,28,Italy,Hellas Verona,62,62,€220K,€2K,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,220K,2K,"A. Berardi, GK"
23,A. Bifulco,22,Italy,Napoli,61,70,€400K,€8K,RM,2022,67,45,61,62,38,45,Serie A,Italy,Midfielder,400K,8K,"A. Bifulco, RM"
24,A. Blin,22,France,Amiens SC,73,79,€5M,€12K,CDM,2022,53,55,67,65,72,72,Ligue 1,France,Midfielder,5M,12K,"A. Blin, CDM"
25,A. Bodzek,33,Poland,Fortuna Dusseldorf,70,70,€875K,€15K,CDM,2020,38,54,61,58,70,76,Bundesliga,Germany,Midfielder,875K,15K,"A. Bodzek, CDM"
26,A. Boniotti,24,Italy,Brescia,62,67,€350K,€2K,RB,2024,69,40,55,60,61,57,Serie A,Italy,Defender,350K,2K,"A. Boniotti, RB"
27,A. Boruc,39,Poland,Bournemouth,75,75,€675K,€23K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,675K,23K,"A. Boruc, GK"
28,A. Budimir,27,Croatia,RCD Mallorca,72,72,€3.3M,€19K,ST,2023,59,73,44,64,34,72,La Liga,Spain,Forward,3.3M,19K,"A. Budimir, ST"
29,A. Buongiorno,20,Italy,Torino,62,77,€625K,€5K,LB,2022,61,43,52,54,62,66,Serie A,Italy,Defender,625K,5K,"A. Buongiorno, LB"
30,A. Caci,22,France,RC Strasbourg Alsace,72,83,€4.9M,€16K,CB,2022,73,48,65,67,72,70,Ligue 1,France,Defender,4.9M,16K,"A. Caci, CB"
31,A. Calabresi,23,Italy,Bologna,72,79,€3.9M,€17K,CB,2022,59,30,48,54,73,71,Serie A,Italy,Defender,3.9M,17K,"A. Calabresi, CB"
32,A. Candreva,32,Italy,Inter,79,79,€10M,€65K,RM,2021,74,78,76,80,61,67,Serie A,Italy,Midfielder,10M,65K,"A. Candreva, RM"
33,A. Carroll,30,England,Newcastle United,75,75,€6.5M,€39K,ST,2020,44,77,61,67,44,80,Premier League,UK,Forward,6.5M,39K,"A. Carroll, ST"
34,A. Cavagnera,20,Belgium,Milan,58,72,€260K,€4K,CDM,2020,59,34,57,62,54,60,Serie A,Italy,Midfielder,260K,4K,"A. Cavagnera, CDM"
35,A. Cerri,23,Italy,Cagliari,72,80,€4.6M,€21K,ST,2023,59,72,54,68,39,75,Serie A,Italy,Forward,4.6M,21K,"A. Cerri, ST"
36,A. Christensen,23,Denmark,Chelsea,80,87,€19M,€85K,CB,2022,68,31,63,68,82,72,Premier League,UK,Defender,19M,85K,"A. Christensen, CB"
37,A. Ciciretti,25,Italy,Napoli,74,75,€6.5M,€44K,CAM,2020,77,68,73,75,35,49,Serie A,Italy,Midfielder,6.5M,44K,"A. Ciciretti, CAM"
38,A. Cistana,22,Italy,Brescia,70,80,€2.6M,€7K,CB,2020,68,42,54,60,70,67,Serie A,Italy,Defender,2.6M,7K,"A. Cistana, CB"
39,A. Connolly,19,Republic of Ireland,Brighton & Hove Albion,64,79,€975K,€7K,ST,2022,70,64,40,60,20,57,Premier League,UK,Forward,975K,7K,"A. Connolly, ST"
40,A. Consigli,32,Italy,Sassuolo,81,81,€11M,€48K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,11M,48K,"A. Consigli, GK"
41,A. Conti,25,Italy,Milan,75,78,€8.5M,€32K,RM,2022,75,59,70,75,73,66,Serie A,Italy,Midfielder,8.5M,32K,"A. Conti, RM"
42,A. Coric,22,Croatia,Roma,73,82,€6M,€26K,CAM,2023,69,66,71,76,40,52,Serie A,Italy,Midfielder,6M,26K,"A. Coric, CAM"
43,A. Cornelius,26,Denmark,Parma,74,76,€7M,€38K,ST,2021,64,73,55,66,39,81,Serie A,Italy,Forward,7M,38K,"A. Cornelius, ST"
44,A. Correa,24,Argentina,Atletico Madrid,82,86,€29M,€59K,RM,2024,83,80,75,86,54,65,La Liga,Spain,Midfielder,29M,59K,"A. Correa, RM"
45,A. Cragno,25,Italy,Cagliari,81,87,€18M,€30K,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,18M,30K,"A. Cragno, GK"
46,A. Crescenzi,27,Italy,Hellas Verona,69,70,€1M,€7K,RB,2021,77,37,54,66,64,76,Serie A,Italy,Defender,1M,7K,"A. Crescenzi, RB"
47,A. Cresswell,29,England,West Ham United,76,76,€6.5M,€63K,LB,2021,71,59,73,75,74,67,Premier League,UK,Defender,6.5M,63K,"A. Cresswell, LB"
48,A. Dabo,18,France,FC Nantes,63,84,€825K,€2K,LM,2022,66,58,62,65,61,53,Ligue 1,France,Midfielder,825K,2K,"A. Dabo, LM"
49,A. Danjuma Groeneveld,22,Netherlands,Bournemouth,76,84,€11.5M,€49K,LM,2024,82,73,71,79,42,67,Premier League,UK,Midfielder,11.5M,49K,"A. Danjuma Groeneveld, LM"
50,A. Danzi,20,Italy,Hellas Verona,67,79,€1.3M,€4K,CM,2021,61,42,66,66,60,58,Serie A,Italy,Midfielder,1.3M,4K,"A. Danzi, CM"
51,A. Davies,18,Canada,FC Bayern Munchen,72,87,€6.5M,€18K,LM,2023,91,65,61,76,55,70,Bundesliga,Germany,Midfielder,6.5M,18K,"A. Davies, LM"
52,A. Deiola,23,Italy,Cagliari,64,71,€625K,€6K,CM,2022,64,63,60,60,60,69,Serie A,Italy,Midfielder,625K,6K,"A. Deiola, CM"
53,A. Delort,27,Algeria,Montpellier HSC,78,79,€12M,€37K,ST,2023,73,78,70,73,33,80,Ligue 1,France,Forward,12M,37K,"A. Delort, ST"
54,A. Di Gaudio,29,Italy,Hellas Verona,73,73,€3.9M,€16K,LW,2021,89,60,65,80,31,46,Serie A,Italy,Forward,3.9M,16K,"A. Di Gaudio, LW"
55,A. Di María,31,Argentina,Paris Saint-Germain,86,86,€39M,€150K,RW,2021,84,79,84,87,48,68,Ligue 1,France,Forward,39M,150K,"A. Di María, RW"
56,A. Di Nardo,20,Italy,Sampdoria,62,70,€450K,€5K,ST,2022,64,60,49,58,23,54,Serie A,Italy,Forward,450K,5K,"A. Di Nardo, ST"
57,A. Dia,19,France,Olympique de Marseille,55,71,€140K,€1K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,140K,1K,"A. Dia, GK"
58,A. Diakhate,20,Senegal,Parma,55,71,€170K,€4K,CM,2023,60,46,54,52,55,59,Serie A,Italy,Midfielder,170K,4K,"A. Diakhate, CM"
59,A. Diallo,23,France,Paris Saint-Germain,79,85,€15.5M,€61K,CB,2024,77,37,70,76,78,76,Ligue 1,France,Defender,15.5M,61K,"A. Diallo, CB"
60,A. Diawara,21,Guinea,Roma,75,83,€10M,€26K,CM,2024,64,54,73,77,72,73,Serie A,Italy,Midfielder,10M,26K,"A. Diawara, CM"
61,A. Diousse,21,Senegal,AS Saint-etienne,72,80,€4.6M,€16K,CM,2022,63,46,69,75,66,61,Ligue 1,France,Midfielder,4.6M,16K,"A. Diousse, CM"
62,A. Disasi,21,France,Stade de Reims,67,75,€1M,€6K,CB,2021,55,28,41,44,65,75,Ligue 1,France,Defender,1M,6K,"A. Disasi, CB"
63,A. Djiku,24,France,RC Strasbourg Alsace,77,82,€10.5M,€23K,CB,2023,76,40,64,69,76,80,Ligue 1,France,Defender,10.5M,23K,"A. Djiku, CB"
64,A. Dobre,20,Romania,Bournemouth,62,73,€525K,€7K,LM,2021,75,51,53,66,37,61,Premier League,UK,Midfielder,525K,7K,"A. Dobre, LM"
65,A. Donnarumma,28,Italy,Brescia,75,75,€7M,€16K,ST,2022,84,76,59,74,36,62,Serie A,Italy,Forward,7M,16K,"A. Donnarumma, ST"
66,A. Donnarumma,28,Italy,Milan,66,67,€550K,€8K,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,550K,8K,"A. Donnarumma, GK"
67,A. Doucoure,26,France,Watford,81,84,€20M,€73K,CDM,2023,69,74,73,77,79,82,Premier League,UK,Midfielder,20M,73K,"A. Doucoure, CDM"
68,A. Dragovic,28,Austria,Bayer 04 Leverkusen,77,77,€8M,€52K,CB,2021,65,51,60,64,77,75,Bundesliga,Germany,Defender,8M,52K,"A. Dragovic, CB"
69,A. Dreyer,21,Denmark,Brighton & Hove Albion,65,77,€975K,€8K,RM,2022,73,65,59,69,36,57,Premier League,UK,Midfielder,975K,8K,"A. Dreyer, RM"
70,A. Driscoll-Glennon,19,England,Burnley,56,69,€150K,€3K,LB,2021,66,35,42,57,55,57,Premier League,UK,Defender,150K,3K,"A. Driscoll-Glennon, LB"
71,A. Duncan,26,Ghana,Sassuolo,75,77,€8M,€44K,CM,2022,71,63,73,72,76,76,Serie A,Italy,Midfielder,8M,44K,"A. Duncan, CM"
72,A. Ekdal,29,Sweden,Sampdoria,76,76,€7.5M,€34K,CM,2021,49,65,75,73,71,73,Serie A,Italy,Midfielder,7.5M,34K,"A. Ekdal, CM"
73,A. El Ghazi,24,Netherlands,Aston Villa,74,79,€7.5M,€43K,LW,2023,76,75,68,75,32,69,Premier League,UK,Forward,7.5M,43K,"A. El Ghazi, LW"
74,A. Elmohamady,31,Egypt,Aston Villa,70,70,€1.3M,€25K,RB,2020,69,64,70,69,66,72,Premier League,UK,Defender,1.3M,25K,"A. Elmohamady, RB"
75,A. Empereur,25,Brazil,Hellas Verona,66,69,€725K,€4K,CB,2021,64,28,48,48,67,68,Serie A,Italy,Defender,725K,4K,"A. Empereur, CB"
76,A. Esswein,29,Germany,Hertha BSC,70,70,€1.7M,€15K,RM,2020,77,69,63,70,58,74,Bundesliga,Germany,Midfielder,1.7M,15K,"A. Esswein, RM"
77,A. Famewo,20,England,Norwich City,55,66,€130K,€4K,CB,2020,75,21,32,37,52,66,Premier League,UK,Defender,130K,4K,"A. Famewo, CB"
78,A. Favilli,22,Italy,Genoa,68,78,€1.5M,€7K,ST,2024,65,67,45,65,24,62,Serie A,Italy,Forward,1.5M,7K,"A. Favilli, ST"
79,A. Ferrari,25,Italy,Sampdoria,69,74,€1.2M,€13K,RB,2023,68,32,51,63,72,69,Serie A,Italy,Defender,1.2M,13K,"A. Ferrari, RB"
80,A. Finnbogason,30,Iceland,FC Augsburg,78,78,€10M,€30K,ST,2022,66,81,62,74,33,69,Bundesliga,Germany,Forward,10M,30K,"A. Finnbogason, ST"
81,A. Fitzpatrick,18,Scotland,Norwich City,61,79,€525K,€3K,RM,2022,77,56,56,64,32,48,Premier League,UK,Midfielder,525K,3K,"A. Fitzpatrick, RM"
82,A. Florenzi,28,Italy,Roma,81,81,€15M,€51K,RB,2023,82,77,76,80,77,73,Serie A,Italy,Defender,15M,51K,"A. Florenzi, RB"
83,A. Fulgini,22,France,Angers SCO,75,82,€9.5M,€19K,RM,2021,76,60,74,76,68,69,Ligue 1,France,Midfielder,9.5M,19K,"A. Fulgini, RM"
84,A. Gallo,19,Italy,Lecce,61,81,€500K,€2K,LB,2023,79,50,61,61,56,54,Serie A,Italy,Defender,500K,2K,"A. Gallo, LB"
85,A. Georgen,20,France,Paris Saint-Germain,63,76,€650K,€8K,RB,2020,71,49,55,66,61,54,Ligue 1,France,Defender,650K,8K,"A. Georgen, RB"
86,A. Georgiou,22,Cyprus,Tottenham Hotspur,63,74,€575K,€11K,LB,2020,69,45,60,68,60,53,Premier League,UK,Defender,575K,11K,"A. Georgiou, LB"
87,A. Gogia,27,Germany,1. FC Union Berlin,70,70,€1.9M,€22K,RW,2021,74,69,65,75,28,60,Bundesliga,Germany,Forward,1.9M,22K,"A. Gogia, RW"
88,A. Golovin,23,Russia,AS Monaco,79,85,€17.5M,€38K,CAM,2023,81,71,75,82,65,67,Ligue 1,France,Midfielder,17.5M,38K,"A. Golovin, CAM"
89,A. Gomes,18,England,Manchester United,68,86,€1.8M,€12K,CAM,2021,73,62,66,71,39,42,Premier League,UK,Midfielder,1.8M,12K,"A. Gomes, CAM"
90,A. Gómez,31,Argentina,Atalanta,85,85,€34M,€92K,CAM,2022,89,78,81,86,39,55,Serie A,Italy,Midfielder,34M,92K,"A. Gómez, CAM"
91,A. Gomez Mancini,18,France,Angers SCO,58,76,€260K,€1K,CAM,2021,55,51,58,57,48,47,Ligue 1,France,Midfielder,260K,1K,"A. Gomez Mancini, CAM"
92,A. Gomis,25,Senegal,SPAL,75,78,€6M,€10K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,6M,10K,"A. Gomis, GK"
93,A. Gouiri,19,France,Olympique Lyonnais,68,86,€1.9M,€14K,ST,2022,72,65,55,69,21,61,Ligue 1,France,Forward,1.9M,14K,"A. Gouiri, ST"
94,A. Grandi,22,Brazil,CD Leganes,65,77,€775K,€4K,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,775K,4K,"A. Grandi, GK"
95,A. Grassi,24,Italy,Parma,75,81,€9M,€32K,CM,2020,67,63,73,74,67,64,Serie A,Italy,Midfielder,9M,32K,"A. Grassi, CM"
96,A. Gravillon,21,France,Sassuolo,69,78,€1.5M,€14K,CB,2020,63,31,42,46,68,74,Serie A,Italy,Defender,1.5M,14K,"A. Gravillon, CB"
97,A. Gray,28,England,Watford,76,76,€8M,€63K,ST,2022,86,75,62,73,30,72,Premier League,UK,Forward,8M,63K,"A. Gray, ST"
98,A. Griezmann,28,France,FC Barcelona,89,89,€69M,€370K,CF,2024,81,86,84,89,57,72,La Liga,Spain,Forward,69M,370K,"A. Griezmann, CF"
99,A. Guardado,32,Mexico,Real Betis,81,81,€13.5M,€32K,CM,2020,68,68,81,82,72,68,La Liga,Spain,Midfielder,13.5M,32K,"A. Guardado, CM"
100,A. Gunn,23,England,Southampton,76,83,€8M,€29K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,8M,29K,"A. Gunn, GK"
101,A. Gurleyen,20,Germany,1. FSV Mainz 05,60,75,€425K,€3K,CB,2022,55,37,43,41,55,73,Bundesliga,Germany,Defender,425K,3K,"A. Gurleyen, CB"
102,A. Hack,25,Germany,1. FSV Mainz 05,74,78,€6.5M,€20K,CB,2022,70,32,62,60,73,75,Bundesliga,Germany,Defender,6.5M,20K,"A. Hack, CB"
103,A. Hahn,28,Germany,FC Augsburg,74,74,€5.5M,€22K,RM,2022,72,76,67,66,55,83,Bundesliga,Germany,Midfielder,5.5M,22K,"A. Hahn, RM"
104,A. Haidara,21,Mali,RB Leipzig,76,84,€11.5M,€32K,CM,2023,73,70,74,76,65,69,Bundesliga,Germany,Midfielder,11.5M,32K,"A. Haidara, CM"
105,A. Hakimi,20,Morocco,Borussia Dortmund,79,86,€16M,€48K,LB,2020,92,62,72,80,74,74,Bundesliga,Germany,Defender,16M,48K,"A. Hakimi, LB"
106,A. Harit,22,Morocco,FC Schalke 04,76,83,€11M,€25K,CAM,2021,81,60,71,82,44,46,Bundesliga,Germany,Midfielder,11M,25K,"A. Harit, CAM"
107,A. Herzog,21,Germany,Borussia Monchengladbach,61,72,€400K,€3K,CDM,2020,67,43,56,61,58,54,Bundesliga,Germany,Midfielder,400K,3K,"A. Herzog, CDM"
108,A. Hoffmann,26,Germany,Fortuna Dusseldorf,72,76,€3.5M,€19K,CB,2023,46,38,57,56,72,69,Bundesliga,Germany,Defender,3.5M,19K,"A. Hoffmann, CB"
109,A. Hunou,25,France,Stade Rennais FC,73,76,€5M,€32K,ST,2020,75,72,69,76,51,68,Ligue 1,France,Forward,5M,32K,"A. Hunou, ST"
110,A. Idah,18,Republic of Ireland,Norwich City,63,84,€850K,€4K,ST,2023,75,64,38,58,21,62,Premier League,UK,Forward,850K,4K,"A. Idah, ST"
111,A. Ioni<U+021B>a,28,Moldova,Cagliari,75,75,€6.5M,€30K,CM,2021,64,68,72,70,75,78,Serie A,Italy,Midfielder,6.5M,30K,"A. Ioni<U+021B>a, CM"
112,A. Isak,19,Sweden,Real Sociedad,74,83,€8.5M,€15K,ST,2024,78,74,60,73,29,60,La Liga,Spain,Forward,8.5M,15K,"A. Isak, ST"
113,A. Iwobi,23,Nigeria,Everton,79,84,€17M,€72K,LM,2024,80,64,74,83,28,68,Premier League,UK,Midfielder,17M,72K,"A. Iwobi, LM"
114,A. Izzo,27,Italy,Torino,81,83,€18.5M,€51K,CB,2023,68,33,48,65,83,75,Serie A,Italy,Defender,18.5M,51K,"A. Izzo, CB"
115,A. Jahanbakhsh,25,Iran,Brighton & Hove Albion,75,76,€8M,€44K,RW,2023,79,73,69,79,42,70,Premier League,UK,Forward,8M,44K,"A. Jahanbakhsh, RW"
116,A. Jakubech,22,Slovakia,LOSC Lille,64,73,€550K,€5K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,550K,5K,"A. Jakubech, GK"
117,A. Jallow,20,Gambia,FC Metz,63,76,€700K,€3K,RW,2022,77,48,62,70,24,42,Ligue 1,France,Forward,700K,3K,"A. Jallow, RW"
118,A. Januzaj,24,Belgium,Real Sociedad,79,84,€17M,€32K,RW,2022,76,76,74,82,29,56,La Liga,Spain,Forward,17M,32K,"A. Januzaj, RW"
119,A. Jaziri,19,Tunisia,OGC Nice,59,73,€325K,€3K,LW,2023,58,58,52,66,29,46,Ligue 1,France,Forward,325K,3K,"A. Jaziri, LW"
120,A. Koiki,19,England,Burnley,60,68,€260K,€3K,LB,2020,78,34,48,59,55,63,Premier League,UK,Defender,260K,3K,"A. Koiki, LB"
121,A. Kolarov,33,Serbia,Roma,82,82,€10M,€52K,LB,2020,69,74,81,76,82,79,Serie A,Italy,Defender,10M,52K,"A. Kolarov, LB"
122,A. Kramaric,28,Croatia,TSG 1899 Hoffenheim,83,83,€27M,€61K,ST,2022,73,85,73,85,30,71,Bundesliga,Germany,Forward,27M,61K,"A. Kramaric, ST"
123,A. Kutucu,19,Turkey,FC Schalke 04,68,85,€1.9M,€7K,ST,2022,79,69,55,68,41,67,Bundesliga,Germany,Forward,1.9M,7K,"A. Kutucu, ST"
124,A. La Mantia,28,Italy,Lecce,70,70,€1.8M,€11K,ST,2022,54,67,35,62,30,80,Serie A,Italy,Forward,1.8M,11K,"A. La Mantia, ST"
125,A. Lacazette,28,France,Arsenal,86,86,€46M,€165K,ST,2022,82,85,75,86,40,74,Premier League,UK,Forward,46M,165K,"A. Lacazette, ST"
126,A. Lafont,20,France,FC Nantes,79,88,€15.5M,€15K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,15.5M,15K,"A. Lafont, GK"
127,A. Lallana,31,England,Liverpool,79,79,€11M,€89K,CM,2021,67,71,79,82,62,65,Premier League,UK,Midfielder,11M,89K,"A. Lallana, CM"
128,A. Laporte,25,France,Manchester City,87,90,€56.5M,€195K,CB,2024,64,50,71,68,88,82,Premier League,UK,Defender,56.5M,195K,"A. Laporte, CB"
129,A. Lauriente,20,France,Stade Rennais FC,61,73,€450K,€5K,RM,2021,61,56,58,66,33,40,Ligue 1,France,Midfielder,450K,5K,"A. Lauriente, RM"
130,A. Lazaar,27,Morocco,Newcastle United,67,68,€750K,€11K,LB,2021,65,57,64,70,65,62,Premier League,UK,Defender,750K,11K,"A. Lazaar, LB"
131,A. Lebeau,19,France,RC Strasbourg Alsace,61,74,€475K,€3K,CAM,2020,73,53,62,62,47,49,Ligue 1,France,Midfielder,475K,3K,"A. Lebeau, CAM"
132,A. Legzdins,32,England,Burnley,64,64,€270K,€6K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,270K,6K,"A. Legzdins, GK"
133,A. Lennon,32,England,Burnley,74,74,€4.4M,€30K,RM,2020,79,63,69,79,49,58,Premier League,UK,Midfielder,4.4M,30K,"A. Lennon, RM"
134,A. Lewis,19,England,Liverpool,60,79,€400K,€5K,LB,2020,66,36,57,60,57,58,Premier League,UK,Defender,400K,5K,"A. Lewis, LB"
135,A. Leya Iseka,21,Belgium,Toulouse Football Club,72,79,€4.5M,€16K,ST,2022,84,73,61,71,27,72,Ligue 1,France,Forward,4.5M,16K,"A. Leya Iseka, ST"
136,A. Lô,19,Senegal,FC Metz,57,72,€210K,€1K,CB,2024,57,32,33,35,59,55,Ligue 1,France,Defender,210K,1K,"A. Lô, CB"
137,A. Lonergan,35,England,Liverpool,65,65,€150K,€8K,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,150K,8K,"A. Lonergan, GK"
138,A. Lookman,21,England,RB Leipzig,76,86,€12.5M,€32K,RM,2024,82,74,68,83,28,61,Bundesliga,Germany,Midfielder,12.5M,32K,"A. Lookman, RM"
139,A. Lopes,28,Portugal,Olympique Lyonnais,85,87,€33.5M,€88K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,33.5M,88K,"A. Lopes, GK"
140,A. Lottin,17,France,FC Girondins de Bordeaux,62,82,€600K,€1K,CM,2021,70,46,59,62,60,60,Ligue 1,France,Midfielder,600K,1K,"A. Lottin, CM"
141,A. Lunin,20,Ukraine,Real Valladolid CF,76,88,€11M,€10K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,11M,10K,"A. Lunin, GK"
142,A. Lupu,21,Romania,Deportivo Alaves,64,76,€825K,€4K,ST,2020,64,63,46,61,19,55,La Liga,Spain,Forward,825K,4K,"A. Lupu, ST"
143,A. Lusamba,22,France,OGC Nice,70,76,€2.4M,€14K,CM,2021,69,59,66,76,64,60,Ligue 1,France,Midfielder,2.4M,14K,"A. Lusamba, CM"
144,A. Luthe,32,Germany,FC Augsburg,72,72,€1.9M,€13K,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,1.9M,13K,"A. Luthe, GK"
145,A. Maier,20,Germany,Hertha BSC,76,87,€13M,€20K,CM,2022,67,57,72,75,68,70,Bundesliga,Germany,Midfielder,13M,20K,"A. Maier, CM"
146,A. Maitland-Niles,21,England,Arsenal,75,84,€9.5M,€41K,RWB,2023,85,59,70,76,68,67,Premier League,UK,Defender,9.5M,41K,"A. Maitland-Niles, RWB"
147,A. Mandi,27,Algeria,Real Betis,80,83,€16M,€27K,CB,2021,66,46,74,70,81,72,La Liga,Spain,Defender,16M,27K,"A. Mandi, CB"
148,A. Mandrea,22,France,Angers SCO,63,70,€400K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,400K,3K,"A. Mandrea, GK"
149,A. Mariappa,32,Jamaica,Watford,75,75,€4.3M,€49K,CB,2020,55,34,57,62,76,70,Premier League,UK,Defender,4.3M,49K,"A. Mariappa, CB"
150,A. Martial,23,France,Manchester United,83,88,€34.5M,€140K,LW,2024,89,81,72,86,41,71,Premier League,UK,Forward,34.5M,140K,"A. Martial, LW"
151,A. Marušic,26,Montenegro,Lazio,77,77,€9.5M,€45K,RM,2022,87,71,72,76,72,76,Serie A,Italy,Midfielder,9.5M,45K,"A. Marušic, RM"
152,A. Masiello,33,Italy,Atalanta,78,78,€4.9M,€48K,CB,2021,54,37,57,58,80,70,Serie A,Italy,Defender,4.9M,48K,"A. Masiello, CB"
153,A. Masina,25,Italy,Watford,74,79,€6.5M,€43K,LB,2023,68,42,67,68,73,73,Premier League,UK,Defender,6.5M,43K,"A. Masina, LB"
154,A. Masuaku,25,DR Congo,West Ham United,76,79,€8.5M,€57K,LB,2024,86,63,72,81,70,70,Premier League,UK,Defender,8.5M,57K,"A. Masuaku, LB"
155,A. Mateju,23,Czech Republic,Brescia,67,73,€925K,€4K,RB,2022,73,41,62,67,64,67,Serie A,Italy,Defender,925K,4K,"A. Mateju, RB"
156,A. Matri,34,Italy,Sassuolo,71,71,€1.2M,€31K,ST,2020,60,68,58,67,37,65,Serie A,Italy,Forward,1.2M,31K,"A. Matri, ST"
