,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages
36,P. Aubameyang,30,Gabon,Arsenal,88,88,5.70E+07,205000,ST,2021,94,85,75,80,37,69,Premier League,UK,Forward,57M,205K
37,S. Mané,27,Senegal,Liverpool,88,88,6.20E+07,220000,LW,2023,94,83,77,89,44,74,Premier League,UK,Forward,62M,220K
38,A. Laporte,25,France,Manchester City,87,90,56500000,195000,CB,2024,64,50,71,68,88,82,Premier League,UK,Defender,56.5M,195K
39,Bernardo Silva,24,Portugal,Manchester City,87,90,6.40E+07,210000,RW,2024,81,76,83,92,51,67,Premier League,UK,Forward,64M,210K
40,Casemiro,27,Brazil,Real Madrid,87,89,53500000,240000,CDM,2021,62,72,75,72,85,89,La Liga,Spain,Midfielder,53.5M,240K
41,H. Son,26,Korea Republic,Tottenham Hotspur,87,88,6.00E+07,185000,CF,2023,88,86,80,87,42,68,Premier League,UK,Forward,60M,185K
42,Fernandinho,34,Brazil,Manchester City,87,87,19500000,2.00E+05,CDM,2020,66,74,79,78,84,79,Premier League,UK,Midfielder,19.5M,200K
43,Thiago Silva,34,Brazil,Paris Saint-Germain,87,87,18500000,135000,CB,2020,62,54,72,72,87,78,Ligue 1,France,Defender,18.5M,135K
44,K. Benzema,31,France,Real Madrid,87,87,4.50E+07,285000,CF,2021,76,82,80,86,39,77,La Liga,Spain,Forward,45M,285K
45,J. Vertonghen,32,Belgium,Tottenham Hotspur,87,87,32500000,155000,CB,2020,63,63,74,72,87,79,Premier League,UK,Defender,32.5M,155K
46,D. Mertens,32,Belgium,Napoli,87,87,4.00E+07,135000,CF,2020,88,83,80,91,35,53,Serie A,Italy,Forward,40M,135K
47,M. Hummels,30,Germany,Borussia Dortmund,87,87,4.10E+07,130000,CB,2022,51,58,76,72,89,76,Bundesliga,Germany,Defender,41M,130K
48,T. Alderweireld,30,Belgium,Tottenham Hotspur,87,87,4.10E+07,155000,CB,2020,64,55,72,66,88,79,Premier League,UK,Defender,41M,155K
49,Jordi Alba,30,Spain,FC Barcelona,87,87,4.00E+07,240000,LB,2024,90,69,81,83,79,73,La Liga,Spain,Defender,40M,240K
50,K. Navas,32,Costa Rica,Real Madrid,87,87,30500000,195000,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,30.5M,195K
51,L. Insigne,28,Italy,Napoli,87,87,5.20E+07,140000,CF,2022,89,79,85,91,35,47,Serie A,Italy,Forward,52M,140K
52,L. Sané,23,Germany,Manchester City,86,92,6.10E+07,195000,LW,2021,95,81,79,86,38,70,Premier League,UK,Forward,61M,195K
53,Marquinhos,25,Brazil,Paris Saint-Germain,86,90,51500000,120000,CB,2022,74,41,73,70,86,77,Ligue 1,France,Defender,51.5M,120K
54,M. Škriniar,24,Slovakia,Inter,86,90,5.20E+07,89000,CB,2023,69,41,59,66,87,82,Serie A,Italy,Defender,52M,89K
55,M. Verratti,26,Italy,Paris Saint-Germain,86,89,54500000,140000,CM,2021,65,60,84,90,79,66,Ligue 1,France,Midfielder,54.5M,140K
56,S. Umtiti,25,France,FC Barcelona,86,89,5.00E+07,210000,CB,2023,69,63,69,69,86,82,La Liga,Spain,Defender,50M,210K
57,W. Szczesny,29,Poland,Juventus,86,88,37500000,135000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,37.5M,135K
58,Isco,27,Spain,Real Madrid,86,87,5.10E+07,245000,CAM,2022,71,77,83,91,59,60,La Liga,Spain,Midfielder,51M,245K
59,Roberto Firmino,27,Brazil,Liverpool,86,87,5.20E+07,170000,CF,2023,77,82,80,87,61,78,Premier League,UK,Forward,52M,170K
60,I. Rakitic,31,Croatia,FC Barcelona,86,86,3.80E+07,245000,CM,2021,62,81,86,81,74,70,La Liga,Spain,Midfielder,38M,245K
61,M. Pjanic,29,Bosnia Herzegovina,Juventus,86,86,42500000,180000,CM,2023,68,68,87,85,75,67,Serie A,Italy,Midfielder,42.5M,180K
62,A. Di María,31,Argentina,Paris Saint-Germain,86,86,3.90E+07,150000,RW,2021,84,79,84,87,48,68,Ligue 1,France,Forward,39M,150K
63,L. Bonucci,32,Italy,Juventus,86,86,28500000,160000,CB,2023,58,58,69,70,87,79,Serie A,Italy,Defender,28.5M,160K
64,Parejo,30,Spain,Valencia CF,86,86,4.10E+07,69000,CM,2022,41,80,88,79,70,69,La Liga,Spain,Midfielder,41M,69K
65,C. Immobile,29,Italy,Lazio,86,86,44500000,105000,ST,2023,80,85,63,81,39,76,Serie A,Italy,Forward,44.5M,105K
66,A. Lacazette,28,France,Arsenal,86,86,4.60E+07,165000,ST,2022,82,85,75,86,40,74,Premier League,UK,Forward,46M,165K
67,M. de Ligt,19,Netherlands,Juventus,85,93,5.00E+07,76000,CB,2024,67,58,66,68,83,84,Serie A,Italy,Defender,50M,76K
68,G. Donnarumma,20,Italy,Milan,85,92,41500000,34000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,41.5M,34K
69,F. de Jong,22,Netherlands,FC Barcelona,85,91,5.20E+07,195000,CM,2024,79,64,84,87,76,76,La Liga,Spain,Midfielder,52M,195K
70,R. Varane,26,France,Real Madrid,85,90,4.50E+07,205000,CB,2022,83,45,62,63,85,80,La Liga,Spain,Defender,45M,205K
71,S. Milinkovic-Savic,24,Serbia,Lazio,85,90,50500000,73000,CM,2023,67,79,80,83,77,84,Serie A,Italy,Midfielder,50.5M,73K
72,Rodri,23,Spain,Manchester City,85,90,4.70E+07,150000,CDM,2024,67,68,77,77,82,80,Premier League,UK,Midfielder,47M,150K
73,Fabinho,25,Brazil,Liverpool,85,89,4.50E+07,125000,CDM,2023,68,69,78,77,85,83,Premier League,UK,Midfielder,45M,125K
74,A. Robertson,25,Scotland,Liverpool,85,89,43500000,125000,LB,2024,85,62,77,79,80,75,Premier League,UK,Defender,43.5M,125K
75,C. Lenglet,24,France,FC Barcelona,85,89,4.50E+07,175000,CB,2023,75,45,68,65,86,80,La Liga,Spain,Defender,45M,175K
76,A. Lopes,28,Portugal,Olympique Lyonnais,85,87,33500000,88000,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,33.5M,88K
77,P. Gulácsi,29,Hungary,RB Leipzig,85,86,3.10E+07,69000,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,31M,69K
78,R. Bürki,28,Switzerland,Borussia Dortmund,85,86,3.20E+07,92000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,32M,92K
79,R. Lukaku,26,Belgium,Inter,85,86,4.60E+07,115000,ST,2024,75,82,73,72,35,84,Serie A,Italy,Forward,46M,115K
80,K. Manolas,28,Greece,Napoli,85,86,37500000,105000,CB,2022,82,25,42,60,86,81,Serie A,Italy,Defender,37.5M,105K
81,Neto,29,Brazil,FC Barcelona,85,86,3.10E+07,175000,GK,2023,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,31M,175K
82,M. Icardi,26,Argentina,Inter,85,86,4.60E+07,115000,ST,2021,75,84,61,77,36,69,Serie A,Italy,Forward,46M,115K
83,Carvajal,27,Spain,Real Madrid,85,86,3.80E+07,205000,RB,2022,81,47,78,81,82,80,La Liga,Spain,Defender,38M,205K
84,A. Gómez,31,Argentina,Atalanta,85,85,3.40E+07,92000,CAM,2022,89,78,81,86,39,55,Serie A,Italy,Midfielder,34M,92K
85,G. Higuaín,31,Argentina,Juventus,85,85,34500000,175000,ST,2021,63,85,71,80,31,71,Serie A,Italy,Forward,34.5M,175K
86,B. Matuidi,32,France,Juventus,85,85,2.50E+07,145000,CDM,2020,75,66,76,78,83,81,Serie A,Italy,Midfielder,25M,145K
87,G. Bale,29,Wales,Real Madrid,85,85,37500000,250000,RW,2022,91,87,82,82,58,76,La Liga,Spain,Forward,37.5M,250K
88,Marcelo,31,Brazil,Real Madrid,85,85,2.80E+07,205000,LB,2022,81,74,83,89,77,79,La Liga,Spain,Defender,28M,205K
89,A. Witsel,30,Belgium,Borussia Dortmund,85,85,31500000,110000,CDM,2022,73,74,80,79,83,81,Bundesliga,Germany,Midfielder,31.5M,110K
90,Alex Sandro,28,Brazil,Juventus,85,85,3.30E+07,155000,LB,2020,83,65,77,80,82,82,Serie A,Italy,Defender,33M,155K
91,Iago Aspas,31,Spain,RC Celta,85,85,34500000,49000,ST,2023,78,84,77,85,35,64,La Liga,Spain,Forward,34.5M,49K
92,J. Rodríguez,27,Colombia,Real Madrid,85,85,40500000,225000,CAM,2020,55,86,87,86,50,63,La Liga,Spain,Midfielder,40.5M,225K
93,Allan,28,Brazil,Napoli,85,85,3.80E+07,110000,CM,2023,75,71,78,84,85,84,Serie A,Italy,Midfielder,38M,110K
94,J. Sancho,19,England,Borussia Dortmund,84,92,44500000,61000,RM,2022,88,72,77,90,36,60,Bundesliga,Germany,Midfielder,44.5M,61K
95,K. Havertz,20,Germany,Bayer 04 Leverkusen,84,92,4.60E+07,70000,CAM,2022,84,78,79,84,44,65,Bundesliga,Germany,Midfielder,46M,70K
96,O. Dembélé,22,France,FC Barcelona,84,90,42500000,195000,RW,2022,93,79,80,87,36,57,La Liga,Spain,Forward,42.5M,195K
97,Kepa,24,Spain,Chelsea,84,89,3.10E+07,92000,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,31M,92K
98,João Cancelo,25,Portugal,Manchester City,84,89,36500000,150000,RB,2025,90,65,80,84,78,71,Premier League,UK,Defender,36.5M,150K
99,D. Alli,23,England,Tottenham Hotspur,84,89,41500000,115000,CAM,2024,72,81,79,82,71,79,Premier League,UK,Midfielder,41.5M,115K
100,Arthur,22,Brazil,FC Barcelona,84,89,4.10E+07,180000,CM,2024,69,71,81,86,73,70,La Liga,Spain,Midfielder,41M,180K
101,M. Depay,25,Netherlands,Olympique Lyonnais,84,88,40500000,110000,CF,2021,87,80,81,84,32,78,Ligue 1,France,Forward,40.5M,110K
102,J. Brandt,23,Germany,Borussia Dortmund,84,88,40500000,94000,CAM,2024,82,78,81,85,40,68,Bundesliga,Germany,Midfielder,40.5M,94K
103,N. Fekir,25,France,Real Betis,84,87,3.90E+07,40000,CAM,2023,78,82,81,88,33,77,La Liga,Spain,Midfielder,39M,40K
104,B. Leno,27,Germany,Arsenal,84,86,2.60E+07,91000,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,26M,91K
105,Luis Alberto,26,Spain,Lazio,84,86,37500000,78000,CAM,2022,71,76,84,85,49,59,Serie A,Italy,Midfielder,37.5M,78K
106,J. Pavlenka,27,Czech Republic,SV Werder Bremen,84,86,2.60E+07,37000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,26M,37K
107,S. de Vrij,27,Netherlands,Inter,84,85,31500000,88000,CB,2023,66,41,62,68,86,74,Serie A,Italy,Defender,31.5M,88K
108,Felipe Anderson,26,Brazil,West Ham United,84,85,36500000,125000,LM,2022,89,77,79,89,55,61,Premier League,UK,Midfielder,36.5M,125K
109,João Moutinho,32,Portugal,Wolverhampton Wanderers,84,84,23500000,125000,CM,2020,56,75,85,82,71,67,Premier League,UK,Midfielder,23.5M,125K
110,S. Sirigu,32,Italy,Torino,84,84,1.90E+07,54000,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,19M,54K
111,Sokratis,31,Greece,Arsenal,84,84,2.30E+07,115000,CB,2021,72,51,52,60,84,83,Premier League,UK,Defender,23M,115K
112,Lucas Leiva,32,Brazil,Lazio,84,84,20500000,71000,CDM,2022,62,66,76,78,83,73,Serie A,Italy,Midfielder,20.5M,71K
113,M. Özil,30,Germany,Arsenal,84,84,29500000,125000,CAM,2021,70,72,86,84,24,56,Premier League,UK,Midfielder,29.5M,125K
114,E. Džeko,33,Bosnia Herzegovina,Roma,84,84,19500000,75000,ST,2022,60,84,71,75,46,73,Serie A,Italy,Forward,19.5M,75K
115,G. Wijnaldum,28,Netherlands,Liverpool,84,84,3.10E+07,140000,CM,2021,77,73,78,84,76,78,Premier League,UK,Midfielder,31M,140K
116,M. Mandžukic,33,Croatia,Juventus,84,84,19500000,160000,ST,2021,68,80,71,75,65,86,Serie A,Italy,Forward,19.5M,160K
117,A. Vidal,32,Chile,FC Barcelona,84,84,23500000,205000,CM,2021,67,79,80,78,85,86,La Liga,Spain,Midfielder,23.5M,205K
118,Azpilicueta,29,Spain,Chelsea,84,84,25500000,145000,RB,2022,70,55,77,73,85,76,Premier League,UK,Defender,25.5M,145K
119,José Callejón,32,Spain,Napoli,84,84,2.40E+07,96000,RM,2020,89,78,75,83,47,64,Serie A,Italy,Midfielder,24M,96K
120,I. Gündogan,28,Germany,Manchester City,84,84,3.10E+07,180000,CM,2023,66,74,84,84,72,71,Premier League,UK,Midfielder,31M,180K
121,K. Walker,29,England,Manchester City,84,84,25500000,165000,RB,2024,91,63,76,77,81,81,Premier League,UK,Defender,25.5M,165K
122,Canales,28,Spain,Real Betis,84,84,31500000,44000,CAM,2022,78,79,83,81,51,66,La Liga,Spain,Midfielder,31.5M,44K
123,Douglas Costa,28,Brazil,Juventus,84,84,31500000,155000,LM,2022,94,73,79,91,43,61,Serie A,Italy,Midfielder,31.5M,155K
124,J. Ilicic,31,Slovenia,Atalanta,84,84,2.80E+07,92000,CF,2021,70,84,84,85,43,67,Serie A,Italy,Forward,28M,92K
125,R. Mahrez,28,Algeria,Manchester City,84,84,31500000,195000,RW,2023,84,78,79,89,38,59,Premier League,UK,Forward,31.5M,195K
126,Fabián,23,Spain,Napoli,83,90,3.60E+07,76000,CM,2023,65,78,78,83,74,69,Serie A,Italy,Midfielder,36M,76K
127,A. Romagnoli,24,Italy,Milan,83,89,3.20E+07,46000,CB,2022,63,40,55,66,85,79,Serie A,Italy,Defender,32M,46K
128,G. Lo Celso,23,Argentina,Tottenham Hotspur,83,89,3.50E+07,105000,CM,2020,77,78,82,85,65,72,Premier League,UK,Midfielder,35M,105K
129,T. Alexander-Arnold,20,England,Liverpool,83,89,3.20E+07,78000,RB,2024,80,62,82,78,78,70,Premier League,UK,Defender,32M,78K
130,L. Jovic,21,Serbia,Real Madrid,83,89,36500000,155000,ST,2024,77,82,68,81,29,74,La Liga,Spain,Forward,36.5M,155K
131,A. Milik,25,Poland,Napoli,83,88,3.50E+07,91000,ST,2021,69,85,64,76,39,74,Serie A,Italy,Forward,35M,91K
132,A. Martial,23,France,Manchester United,83,88,34500000,140000,LW,2024,89,81,72,86,41,71,Premier League,UK,Forward,34.5M,140K
133,J. Tah,23,Germany,Bayer 04 Leverkusen,83,88,3.10E+07,67000,CB,2023,71,27,59,57,83,81,Bundesliga,Germany,Defender,31M,67K
134,Pau López,24,Spain,Roma,83,88,2.60E+07,38000,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,26M,38K
135,Gonçalo Guedes,22,Portugal,Valencia CF,83,88,34500000,46000,LM,2024,90,79,76,84,36,70,La Liga,Spain,Midfielder,34.5M,46K
136,N. Pépé,24,Ivory Coast,Arsenal,83,88,34500000,97000,RM,2024,91,81,75,85,33,67,Premier League,UK,Midfielder,34.5M,97K
137,M. Akanji,23,Switzerland,Borussia Dortmund,83,88,3.10E+07,77000,CB,2022,78,45,68,72,83,80,Bundesliga,Germany,Defender,31M,77K
138,M. Rashford,21,England,Manchester United,83,88,35500000,125000,ST,2023,92,82,73,84,45,77,Premier League,UK,Forward,35.5M,125K
139,J. Stones,25,England,Manchester City,83,87,3.00E+07,140000,CB,2022,68,36,70,72,84,77,Premier League,UK,Defender,30M,140K
140,A. Rabiot,24,France,Juventus,83,87,3.30E+07,120000,CM,2023,73,74,79,80,77,80,Serie A,Italy,Midfielder,33M,120K
141,T. Werner,23,Germany,RB Leipzig,83,87,34500000,70000,ST,2020,92,81,67,83,35,69,Bundesliga,Germany,Forward,34.5M,70K
142,D. Sánchez,23,Colombia,Tottenham Hotspur,83,87,30500000,93000,CB,2024,74,45,57,66,83,81,Premier League,UK,Defender,30.5M,93K
143,Marco Asensio,23,Spain,Real Madrid,83,87,3.40E+07,180000,LW,2023,81,80,82,84,43,62,La Liga,Spain,Forward,34M,180K
144,L. Digne,25,France,Everton,83,86,28500000,97000,LB,2023,78,69,79,79,80,76,Premier League,UK,Defender,28.5M,97K
145,J. Draxler,25,Germany,Paris Saint-Germain,83,86,32500000,1.00E+05,CAM,2021,77,79,81,86,55,63,Ligue 1,France,Midfielder,32.5M,100K
146,J. Pickford,25,England,Everton,83,86,2.40E+07,78000,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,24M,78K
147,Borja Iglesias,26,Spain,Real Betis,83,86,32500000,41000,ST,2024,67,83,63,76,35,82,La Liga,Spain,Forward,32.5M,41K
148,K. Casteels,27,Belgium,VfL Wolfsburg,83,85,2.20E+07,50000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,22M,50K
149,W. Zaha,26,Ivory Coast,Crystal Palace,83,85,3.20E+07,89000,CF,2023,91,76,72,88,27,74,Premier League,UK,Forward,32M,89K
150,Paco Alcácer,25,Spain,Borussia Dortmund,83,85,3.20E+07,105000,ST,2023,79,84,68,80,36,63,Bundesliga,Germany,Forward,32M,105K
151,S. Haller,25,France,West Ham United,83,85,3.20E+07,120000,ST,2024,72,81,62,76,51,82,Premier League,UK,Forward,32M,120K
152,William Carvalho,27,Portugal,Real Betis,83,85,27500000,35000,CDM,2023,42,57,77,74,79,85,La Liga,Spain,Midfielder,27.5M,35K
153,F. Bernardeschi,25,Italy,Juventus,83,85,31500000,130000,RM,2022,81,75,81,87,60,66,Serie A,Italy,Midfielder,31.5M,130K
154,D. Djené,27,Togo,Getafe CF,83,85,2.70E+07,35000,CB,2021,72,37,61,61,83,79,La Liga,Spain,Defender,27M,35K
155,K. Trapp,28,Germany,Eintracht Frankfurt,83,84,21500000,42000,GK,2024,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,21.5M,42K
156,Bartra,28,Spain,Real Betis,83,84,25500000,36000,CB,2023,73,61,73,72,82,74,La Liga,Spain,Defender,25.5M,36K
157,Pablo Sarabia,27,Spain,Paris Saint-Germain,83,84,29500000,105000,CAM,2024,75,76,82,84,57,57,Ligue 1,France,Midfielder,29.5M,105K
158,J. Cillessen,30,Netherlands,Valencia CF,83,84,2.00E+07,39000,GK,2023,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,20M,39K
159,Lucas Moura,26,Brazil,Tottenham Hotspur,83,84,3.10E+07,130000,CF,2024,92,79,76,87,42,66,Premier League,UK,Forward,31M,130K
160,F. Thauvin,26,France,Olympique de Marseille,83,84,30500000,60000,RW,2021,83,80,81,83,41,69,Ligue 1,France,Forward,30.5M,60K
161,Jorginho,27,Italy,Chelsea,83,84,2.90E+07,140000,CM,2023,55,63,84,81,70,73,Premier League,UK,Midfielder,29M,140K
162,G. Buffon,41,Italy,Juventus,83,83,2600000,58000,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,2.6M,58K
163,R. Jarstein,34,Norway,Hertha BSC,83,83,11500000,33000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,11.5M,33K
164,Raúl Albiol,33,Spain,Villarreal CF,83,83,1.20E+07,45000,CB,2022,48,41,61,63,86,72,La Liga,Spain,Defender,12M,45K
165,F. Quagliarella,36,Italy,Sampdoria,83,83,9500000,46000,ST,2020,69,89,75,80,30,65,Serie A,Italy,Forward,9.5M,46K
166,K. Schmeichel,32,Denmark,Leicester City,83,83,15500000,82000,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,15.5M,82K
167,Falcao,33,Colombia,AS Monaco,83,83,16500000,64000,ST,2020,65,82,69,77,43,72,Ligue 1,France,Forward,16.5M,64K
168,E. Garay,32,Argentina,Valencia CF,83,83,16500000,48000,CB,2020,43,60,67,62,82,81,La Liga,Spain,Defender,16.5M,48K
169,Rui Patrício,31,Portugal,Wolverhampton Wanderers,83,83,16500000,82000,GK,2022,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,16.5M,82K
170,R. Nainggolan,31,Belgium,Cagliari,83,83,22500000,51000,CAM,2020,72,79,78,83,83,82,Serie A,Italy,Midfielder,22.5M,51K
171,E. Banega,31,Argentina,Sevilla FC,83,83,19500000,26000,CDM,2020,61,73,84,82,77,70,La Liga,Spain,Midfielder,19.5M,26K
172,S. Khedira,32,Germany,Juventus,83,83,19500000,135000,CM,2021,51,74,78,77,80,80,Serie A,Italy,Midfielder,19.5M,135K
173,David Luiz,32,Brazil,Arsenal,83,83,16500000,105000,CB,2021,61,65,74,70,82,77,Premier League,UK,Defender,16.5M,105K
174,J. Henderson,29,England,Liverpool,83,83,2.20E+07,115000,CDM,2020,64,70,83,77,78,80,Premier League,UK,Midfielder,22M,115K
175,G. Sigurðsson,29,Iceland,Everton,83,83,25500000,120000,CAM,2022,56,81,84,80,57,69,Premier League,UK,Midfielder,25.5M,120K
176,A. Ramsey,28,Wales,Juventus,83,83,25500000,140000,CM,2023,68,77,79,80,68,74,Serie A,Italy,Midfielder,25.5M,140K
177,Illarramendi,29,Spain,Real Sociedad,83,83,2.20E+07,42000,CDM,2023,54,71,80,79,80,71,La Liga,Spain,Midfielder,22M,42K
178,L. Hrádecký,29,Finland,Bayer 04 Leverkusen,83,83,18500000,67000,GK,2023,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,18.5M,67K
179,N. Otamendi,31,Argentina,Manchester City,83,83,1.90E+07,145000,CB,2022,56,57,63,59,83,78,Premier League,UK,Defender,19M,145K
180,J. Cuadrado,31,Colombia,Juventus,83,83,22500000,135000,RM,2020,91,72,77,88,66,67,Serie A,Italy,Midfielder,22.5M,135K
181,I. Gueye,29,Senegal,Paris Saint-Germain,83,83,2.20E+07,1.00E+05,CDM,2023,73,59,70,78,85,78,Ligue 1,France,Midfielder,22M,100K
182,K. Kampl,28,Slovenia,RB Leipzig,83,83,25500000,77000,CM,2021,76,67,80,86,63,62,Bundesliga,Germany,Midfielder,25.5M,77K
