,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
47,A. Cragno,25,Italy,Cagliari,81,87,€18M,€30K,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,18M,30K,"A. Cragno, GK",,"18,000,000.00",18000000
48,A. Crescenzi,27,Italy,Hellas Verona,69,70,€1M,€7K,RB,2021,77,37,54,66,64,76,Serie A,Italy,Defender,1M,7K,"A. Crescenzi, RB",,"1,000,000.00",1000000
49,A. Cresswell,29,England,West Ham United,76,76,€6.5M,€63K,LB,2021,71,59,73,75,74,67,Premier League,UK,Defender,6.5M,63K,"A. Cresswell, LB",,"6,500,000.00",6500000
50,A. Dabo,18,France,FC Nantes,63,84,€825K,€2K,LM,2022,66,58,62,65,61,53,Ligue 1,France,Midfielder,825K,2K,"A. Dabo, LM",,"825,000.00",825000
51,A. Danjuma Groeneveld,22,Netherlands,Bournemouth,76,84,€11.5M,€49K,LM,2024,82,73,71,79,42,67,Premier League,UK,Midfielder,11.5M,49K,"A. Danjuma Groeneveld, LM",,"11,500,000.00",11500000
52,A. Danzi,20,Italy,Hellas Verona,67,79,€1.3M,€4K,CM,2021,61,42,66,66,60,58,Serie A,Italy,Midfielder,1.3M,4K,"A. Danzi, CM",,"1,300,000.00",1300000
53,A. Davies,18,Canada,FC Bayern Munchen,72,87,€6.5M,€18K,LM,2023,91,65,61,76,55,70,Bundesliga,Germany,Midfielder,6.5M,18K,"A. Davies, LM",,"6,500,000.00",6500000
54,A. Deiola,23,Italy,Cagliari,64,71,€625K,€6K,CM,2022,64,63,60,60,60,69,Serie A,Italy,Midfielder,625K,6K,"A. Deiola, CM",,"625,000.00",625000
55,A. Delort,27,Algeria,Montpellier HSC,78,79,€12M,€37K,ST,2023,73,78,70,73,33,80,Ligue 1,France,Forward,12M,37K,"A. Delort, ST",,"12,000,000.00",12000000
56,A. Di Gaudio,29,Italy,Hellas Verona,73,73,€3.9M,€16K,LW,2021,89,60,65,80,31,46,Serie A,Italy,Forward,3.9M,16K,"A. Di Gaudio, LW",,"3,900,000.00",3900000
57,A. Di María,31,Argentina,Paris Saint-Germain,86,86,€39M,€150K,RW,2021,84,79,84,87,48,68,Ligue 1,France,Forward,39M,150K,"A. Di María, RW",,"39,000,000.00",39000000
58,A. Di Nardo,20,Italy,Sampdoria,62,70,€450K,€5K,ST,2022,64,60,49,58,23,54,Serie A,Italy,Forward,450K,5K,"A. Di Nardo, ST",,"450,000.00",450000
59,A. Dia,19,France,Olympique de Marseille,55,71,€140K,€1K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,140K,1K,"A. Dia, GK",,"140,000.00",140000
60,A. Diakhate,20,Senegal,Parma,55,71,€170K,€4K,CM,2023,60,46,54,52,55,59,Serie A,Italy,Midfielder,170K,4K,"A. Diakhate, CM",,"170,000.00",170000
61,A. Diallo,23,France,Paris Saint-Germain,79,85,€15.5M,€61K,CB,2024,77,37,70,76,78,76,Ligue 1,France,Defender,15.5M,61K,"A. Diallo, CB",,"15,500,000.00",15500000
62,A. Diawara,21,Guinea,Roma,75,83,€10M,€26K,CM,2024,64,54,73,77,72,73,Serie A,Italy,Midfielder,10M,26K,"A. Diawara, CM",,"10,000,000.00",10000000
63,A. Diousse,21,Senegal,AS Saint-etienne,72,80,€4.6M,€16K,CM,2022,63,46,69,75,66,61,Ligue 1,France,Midfielder,4.6M,16K,"A. Diousse, CM",,"4,600,000.00",4600000
64,A. Disasi,21,France,Stade de Reims,67,75,€1M,€6K,CB,2021,55,28,41,44,65,75,Ligue 1,France,Defender,1M,6K,"A. Disasi, CB",,"1,000,000.00",1000000
65,A. Djiku,24,France,RC Strasbourg Alsace,77,82,€10.5M,€23K,CB,2023,76,40,64,69,76,80,Ligue 1,France,Defender,10.5M,23K,"A. Djiku, CB",,"10,500,000.00",10500000
66,A. Dobre,20,Romania,Bournemouth,62,73,€525K,€7K,LM,2021,75,51,53,66,37,61,Premier League,UK,Midfielder,525K,7K,"A. Dobre, LM",,"525,000.00",525000
67,A. Donnarumma,28,Italy,Brescia,75,75,€7M,€16K,ST,2022,84,76,59,74,36,62,Serie A,Italy,Forward,7M,16K,"A. Donnarumma, ST",,"7,000,000.00",7000000
68,A. Donnarumma,28,Italy,Milan,66,67,€550K,€8K,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,550K,8K,"A. Donnarumma, GK",,"550,000.00",550000
69,A. Doucoure,26,France,Watford,81,84,€20M,€73K,CDM,2023,69,74,73,77,79,82,Premier League,UK,Midfielder,20M,73K,"A. Doucoure, CDM",,"20,000,000.00",20000000
70,A. Dragovic,28,Austria,Bayer 04 Leverkusen,77,77,€8M,€52K,CB,2021,65,51,60,64,77,75,Bundesliga,Germany,Defender,8M,52K,"A. Dragovic, CB",,"8,000,000.00",8000000
71,A. Dreyer,21,Denmark,Brighton & Hove Albion,65,77,€975K,€8K,RM,2022,73,65,59,69,36,57,Premier League,UK,Midfielder,975K,8K,"A. Dreyer, RM",,"975,000.00",975000
72,A. Driscoll-Glennon,19,England,Burnley,56,69,€150K,€3K,LB,2021,66,35,42,57,55,57,Premier League,UK,Defender,150K,3K,"A. Driscoll-Glennon, LB",,"150,000.00",150000
73,A. Duncan,26,Ghana,Sassuolo,75,77,€8M,€44K,CM,2022,71,63,73,72,76,76,Serie A,Italy,Midfielder,8M,44K,"A. Duncan, CM",,"8,000,000.00",8000000
74,A. Ekdal,29,Sweden,Sampdoria,76,76,€7.5M,€34K,CM,2021,49,65,75,73,71,73,Serie A,Italy,Midfielder,7.5M,34K,"A. Ekdal, CM",,"7,500,000.00",7500000
75,A. El Ghazi,24,Netherlands,Aston Villa,74,79,€7.5M,€43K,LW,2023,76,75,68,75,32,69,Premier League,UK,Forward,7.5M,43K,"A. El Ghazi, LW",,"7,500,000.00",7500000
76,A. Elmohamady,31,Egypt,Aston Villa,70,70,€1.3M,€25K,RB,2020,69,64,70,69,66,72,Premier League,UK,Defender,1.3M,25K,"A. Elmohamady, RB",,"1,300,000.00",1300000
77,A. Empereur,25,Brazil,Hellas Verona,66,69,€725K,€4K,CB,2021,64,28,48,48,67,68,Serie A,Italy,Defender,725K,4K,"A. Empereur, CB",,"725,000.00",725000
78,A. Esswein,29,Germany,Hertha BSC,70,70,€1.7M,€15K,RM,2020,77,69,63,70,58,74,Bundesliga,Germany,Midfielder,1.7M,15K,"A. Esswein, RM",,"1,700,000.00",1700000
79,A. Famewo,20,England,Norwich City,55,66,€130K,€4K,CB,2020,75,21,32,37,52,66,Premier League,UK,Defender,130K,4K,"A. Famewo, CB",,"130,000.00",130000
80,A. Favilli,22,Italy,Genoa,68,78,€1.5M,€7K,ST,2024,65,67,45,65,24,62,Serie A,Italy,Forward,1.5M,7K,"A. Favilli, ST",,"1,500,000.00",1500000
81,A. Ferrari,25,Italy,Sampdoria,69,74,€1.2M,€13K,RB,2023,68,32,51,63,72,69,Serie A,Italy,Defender,1.2M,13K,"A. Ferrari, RB",,"1,200,000.00",1200000
82,A. Finnbogason,30,Iceland,FC Augsburg,78,78,€10M,€30K,ST,2022,66,81,62,74,33,69,Bundesliga,Germany,Forward,10M,30K,"A. Finnbogason, ST",,"10,000,000.00",10000000
83,A. Fitzpatrick,18,Scotland,Norwich City,61,79,€525K,€3K,RM,2022,77,56,56,64,32,48,Premier League,UK,Midfielder,525K,3K,"A. Fitzpatrick, RM",,"525,000.00",525000
84,A. Florenzi,28,Italy,Roma,81,81,€15M,€51K,RB,2023,82,77,76,80,77,73,Serie A,Italy,Defender,15M,51K,"A. Florenzi, RB",,"15,000,000.00",15000000
85,A. Fulgini,22,France,Angers SCO,75,82,€9.5M,€19K,RM,2021,76,60,74,76,68,69,Ligue 1,France,Midfielder,9.5M,19K,"A. Fulgini, RM",,"9,500,000.00",9500000
86,A. Gallo,19,Italy,Lecce,61,81,€500K,€2K,LB,2023,79,50,61,61,56,54,Serie A,Italy,Defender,500K,2K,"A. Gallo, LB",,"500,000.00",500000
87,A. Georgen,20,France,Paris Saint-Germain,63,76,€650K,€8K,RB,2020,71,49,55,66,61,54,Ligue 1,France,Defender,650K,8K,"A. Georgen, RB",,"650,000.00",650000
88,A. Georgiou,22,Cyprus,Tottenham Hotspur,63,74,€575K,€11K,LB,2020,69,45,60,68,60,53,Premier League,UK,Defender,575K,11K,"A. Georgiou, LB",,"575,000.00",575000
89,A. Gogia,27,Germany,1. FC Union Berlin,70,70,€1.9M,€22K,RW,2021,74,69,65,75,28,60,Bundesliga,Germany,Forward,1.9M,22K,"A. Gogia, RW",,"1,900,000.00",1900000
90,A. Golovin,23,Russia,AS Monaco,79,85,€17.5M,€38K,CAM,2023,81,71,75,82,65,67,Ligue 1,France,Midfielder,17.5M,38K,"A. Golovin, CAM",,"17,500,000.00",17500000
91,A. Gomes,18,England,Manchester United,68,86,€1.8M,€12K,CAM,2021,73,62,66,71,39,42,Premier League,UK,Midfielder,1.8M,12K,"A. Gomes, CAM",,"1,800,000.00",1800000
92,A. Gómez,31,Argentina,Atalanta,85,85,€34M,€92K,CAM,2022,89,78,81,86,39,55,Serie A,Italy,Midfielder,34M,92K,"A. Gómez, CAM",,"34,000,000.00",34000000
93,A. Gomez Mancini,18,France,Angers SCO,58,76,€260K,€1K,CAM,2021,55,51,58,57,48,47,Ligue 1,France,Midfielder,260K,1K,"A. Gomez Mancini, CAM",,"260,000.00",260000
94,A. Gomis,25,Senegal,SPAL,75,78,€6M,€10K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,6M,10K,"A. Gomis, GK",,"6,000,000.00",6000000
95,A. Gouiri,19,France,Olympique Lyonnais,68,86,€1.9M,€14K,ST,2022,72,65,55,69,21,61,Ligue 1,France,Forward,1.9M,14K,"A. Gouiri, ST",,"1,900,000.00",1900000
96,A. Grandi,22,Brazil,CD Leganes,65,77,€775K,€4K,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,775K,4K,"A. Grandi, GK",,"775,000.00",775000
97,A. Grassi,24,Italy,Parma,75,81,€9M,€32K,CM,2020,67,63,73,74,67,64,Serie A,Italy,Midfielder,9M,32K,"A. Grassi, CM",,"9,000,000.00",9000000
98,A. Gravillon,21,France,Sassuolo,69,78,€1.5M,€14K,CB,2020,63,31,42,46,68,74,Serie A,Italy,Defender,1.5M,14K,"A. Gravillon, CB",,"1,500,000.00",1500000
99,A. Gray,28,England,Watford,76,76,€8M,€63K,ST,2022,86,75,62,73,30,72,Premier League,UK,Forward,8M,63K,"A. Gray, ST",,"8,000,000.00",8000000
100,A. Griezmann,28,France,FC Barcelona,89,89,€69M,€370K,CF,2024,81,86,84,89,57,72,La Liga,Spain,Forward,69M,370K,"A. Griezmann, CF",,"69,000,000.00",69000000
101,A. Guardado,32,Mexico,Real Betis,81,81,€13.5M,€32K,CM,2020,68,68,81,82,72,68,La Liga,Spain,Midfielder,13.5M,32K,"A. Guardado, CM",,"13,500,000.00",13500000
102,A. Gunn,23,England,Southampton,76,83,€8M,€29K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,8M,29K,"A. Gunn, GK",,"8,000,000.00",8000000
103,A. Gurleyen,20,Germany,1. FSV Mainz 05,60,75,€425K,€3K,CB,2022,55,37,43,41,55,73,Bundesliga,Germany,Defender,425K,3K,"A. Gurleyen, CB",,"425,000.00",425000
104,A. Hack,25,Germany,1. FSV Mainz 05,74,78,€6.5M,€20K,CB,2022,70,32,62,60,73,75,Bundesliga,Germany,Defender,6.5M,20K,"A. Hack, CB",,"6,500,000.00",6500000
105,A. Hahn,28,Germany,FC Augsburg,74,74,€5.5M,€22K,RM,2022,72,76,67,66,55,83,Bundesliga,Germany,Midfielder,5.5M,22K,"A. Hahn, RM",,"5,500,000.00",5500000
106,A. Haidara,21,Mali,RB Leipzig,76,84,€11.5M,€32K,CM,2023,73,70,74,76,65,69,Bundesliga,Germany,Midfielder,11.5M,32K,"A. Haidara, CM",,"11,500,000.00",11500000
107,A. Hakimi,20,Morocco,Borussia Dortmund,79,86,€16M,€48K,LB,2020,92,62,72,80,74,74,Bundesliga,Germany,Defender,16M,48K,"A. Hakimi, LB",,"16,000,000.00",16000000
108,A. Harit,22,Morocco,FC Schalke 04,76,83,€11M,€25K,CAM,2021,81,60,71,82,44,46,Bundesliga,Germany,Midfielder,11M,25K,"A. Harit, CAM",,"11,000,000.00",11000000
109,A. Herzog,21,Germany,Borussia Monchengladbach,61,72,€400K,€3K,CDM,2020,67,43,56,61,58,54,Bundesliga,Germany,Midfielder,400K,3K,"A. Herzog, CDM",,"400,000.00",400000
110,A. Hoffmann,26,Germany,Fortuna Dusseldorf,72,76,€3.5M,€19K,CB,2023,46,38,57,56,72,69,Bundesliga,Germany,Defender,3.5M,19K,"A. Hoffmann, CB",,"3,500,000.00",3500000
111,A. Hunou,25,France,Stade Rennais FC,73,76,€5M,€32K,ST,2020,75,72,69,76,51,68,Ligue 1,France,Forward,5M,32K,"A. Hunou, ST",,"5,000,000.00",5000000
112,A. Idah,18,Republic of Ireland,Norwich City,63,84,€850K,€4K,ST,2023,75,64,38,58,21,62,Premier League,UK,Forward,850K,4K,"A. Idah, ST",,"850,000.00",850000
113,A. Ioni<U+021B>a,28,Moldova,Cagliari,75,75,€6.5M,€30K,CM,2021,64,68,72,70,75,78,Serie A,Italy,Midfielder,6.5M,30K,"A. Ioni<U+021B>a, CM",,"6,500,000.00",6500000
114,A. Isak,19,Sweden,Real Sociedad,74,83,€8.5M,€15K,ST,2024,78,74,60,73,29,60,La Liga,Spain,Forward,8.5M,15K,"A. Isak, ST",,"8,500,000.00",8500000
115,A. Iwobi,23,Nigeria,Everton,79,84,€17M,€72K,LM,2024,80,64,74,83,28,68,Premier League,UK,Midfielder,17M,72K,"A. Iwobi, LM",,"17,000,000.00",17000000
116,A. Izzo,27,Italy,Torino,81,83,€18.5M,€51K,CB,2023,68,33,48,65,83,75,Serie A,Italy,Defender,18.5M,51K,"A. Izzo, CB",,"18,500,000.00",18500000
117,A. Jahanbakhsh,25,Iran,Brighton & Hove Albion,75,76,€8M,€44K,RW,2023,79,73,69,79,42,70,Premier League,UK,Forward,8M,44K,"A. Jahanbakhsh, RW",,"8,000,000.00",8000000
118,A. Jakubech,22,Slovakia,LOSC Lille,64,73,€550K,€5K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,550K,5K,"A. Jakubech, GK",,"550,000.00",550000
119,A. Jallow,20,Gambia,FC Metz,63,76,€700K,€3K,RW,2022,77,48,62,70,24,42,Ligue 1,France,Forward,700K,3K,"A. Jallow, RW",,"700,000.00",700000
120,A. Januzaj,24,Belgium,Real Sociedad,79,84,€17M,€32K,RW,2022,76,76,74,82,29,56,La Liga,Spain,Forward,17M,32K,"A. Januzaj, RW",,"17,000,000.00",17000000
121,A. Jaziri,19,Tunisia,OGC Nice,59,73,€325K,€3K,LW,2023,58,58,52,66,29,46,Ligue 1,France,Forward,325K,3K,"A. Jaziri, LW",,"325,000.00",325000
122,A. Koiki,19,England,Burnley,60,68,€260K,€3K,LB,2020,78,34,48,59,55,63,Premier League,UK,Defender,260K,3K,"A. Koiki, LB",,"260,000.00",260000
123,A. Kolarov,33,Serbia,Roma,82,82,€10M,€52K,LB,2020,69,74,81,76,82,79,Serie A,Italy,Defender,10M,52K,"A. Kolarov, LB",,"10,000,000.00",10000000
124,A. Kramaric,28,Croatia,TSG 1899 Hoffenheim,83,83,€27M,€61K,ST,2022,73,85,73,85,30,71,Bundesliga,Germany,Forward,27M,61K,"A. Kramaric, ST",,"27,000,000.00",27000000
125,A. Kutucu,19,Turkey,FC Schalke 04,68,85,€1.9M,€7K,ST,2022,79,69,55,68,41,67,Bundesliga,Germany,Forward,1.9M,7K,"A. Kutucu, ST",,"1,900,000.00",1900000
126,A. La Mantia,28,Italy,Lecce,70,70,€1.8M,€11K,ST,2022,54,67,35,62,30,80,Serie A,Italy,Forward,1.8M,11K,"A. La Mantia, ST",,"1,800,000.00",1800000
127,A. Lacazette,28,France,Arsenal,86,86,€46M,€165K,ST,2022,82,85,75,86,40,74,Premier League,UK,Forward,46M,165K,"A. Lacazette, ST",,"46,000,000.00",46000000
128,A. Lafont,20,France,FC Nantes,79,88,€15.5M,€15K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,15.5M,15K,"A. Lafont, GK",,"15,500,000.00",15500000
129,A. Lallana,31,England,Liverpool,79,79,€11M,€89K,CM,2021,67,71,79,82,62,65,Premier League,UK,Midfielder,11M,89K,"A. Lallana, CM",,"11,000,000.00",11000000
130,A. Laporte,25,France,Manchester City,87,90,€56.5M,€195K,CB,2024,64,50,71,68,88,82,Premier League,UK,Defender,56.5M,195K,"A. Laporte, CB",,"56,500,000.00",56500000
131,A. Lauriente,20,France,Stade Rennais FC,61,73,€450K,€5K,RM,2021,61,56,58,66,33,40,Ligue 1,France,Midfielder,450K,5K,"A. Lauriente, RM",,"450,000.00",450000
132,A. Lazaar,27,Morocco,Newcastle United,67,68,€750K,€11K,LB,2021,65,57,64,70,65,62,Premier League,UK,Defender,750K,11K,"A. Lazaar, LB",,"750,000.00",750000
133,A. Lebeau,19,France,RC Strasbourg Alsace,61,74,€475K,€3K,CAM,2020,73,53,62,62,47,49,Ligue 1,France,Midfielder,475K,3K,"A. Lebeau, CAM",,"475,000.00",475000
134,A. Legzdins,32,England,Burnley,64,64,€270K,€6K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,270K,6K,"A. Legzdins, GK",,"270,000.00",270000
135,A. Lennon,32,England,Burnley,74,74,€4.4M,€30K,RM,2020,79,63,69,79,49,58,Premier League,UK,Midfielder,4.4M,30K,"A. Lennon, RM",,"4,400,000.00",4400000
136,A. Lewis,19,England,Liverpool,60,79,€400K,€5K,LB,2020,66,36,57,60,57,58,Premier League,UK,Defender,400K,5K,"A. Lewis, LB",,"400,000.00",400000
137,A. Leya Iseka,21,Belgium,Toulouse Football Club,72,79,€4.5M,€16K,ST,2022,84,73,61,71,27,72,Ligue 1,France,Forward,4.5M,16K,"A. Leya Iseka, ST",,"4,500,000.00",4500000
